Class Name, Total Occurrences, Always Used
org.hamcrest.MatcherAssert, 22, false
null, 33, false
org.assertj.core.data.Index, 1, false
org.assertj.core.util.OtherStringTestComparator, 2, false
org.assertj.core.internal.Maps, 6, false
org.assertj.core.util.Files, 8, false
org.assertj.core.internal.Comparables, 123, false
org.assertj.core.internal.Numbers, 3, false
org.assertj.core.api.AbstractOptionalLongAssert, 1, false
org.assertj.core.api.IntPredicateAssert, 2, false
org.assertj.core.internal.Uris, 4, false
org.hamcrest.internal.ReflectiveTypeFinder, 421, false
org.assertj.core.api.AbstractIntegerAssert, 5, false
org.assertj.core.error.DescriptionFormatter, 14, false
org.assertj.core.internal.Arrays, 341, false
org.assertj.core.api.WithAssertions_delegation_Test.TestAssertDelegate, 1, false
org.assertj.core.api.iterable.ThrowingExtractor, 25, false
org.assertj.core.api.AbstractBooleanArrayAssert, 1, false
org.assertj.core.extractor.ToStringExtractor, 2, false
org.assertj.core.description.Description, 35, false
org.assertj.core.internal.Doubles, 8, false
org.assertj.core.api.AbstractFloatAssert, 4, false
org.assertj.core.api.IterableAssert.LazyIterable, 4, false
org.assertj.core.internal.Paths, 1, false
org.assertj.core.test.Name, 338, false
org.assertj.core.api.ListAssert.ListFromStream, 2, false
org.assertj.core.api.AbstractOptionalAssert, 2, false
org.assertj.core.api.AbstractPredicateLikeAssert, 3, false
org.assertj.core.api.AbstractIterableAssert, 434, false
org.assertj.core.internal.Booleans, 29, false
org.assertj.core.condition.Negative, 2, false
org.hamcrest.core.IsInstanceOf, 66, false
org.assertj.core.api.DoublePredicateAssert, 2, false
junit.runner.Version, 5, false
org.assertj.core.groups.Tuple, 838, false
org.assertj.core.api.AbstractObjectAssert, 69, false
org.assertj.core.api.AbstractDoubleAssert, 5, false
org.assertj.core.internal.Integers, 7, false
org.assertj.core.internal.CharArrays, 6, false
org.assertj.core.internal.ComparatorBasedComparisonStrategy, 4, false
org.assertj.core.internal.Characters, 6, false
org.assertj.core.api.AssertionsForInterfaceTypes, 31, false
org.assertj.core.api.AbstractCharacterAssert, 3, false
org.assertj.core.api.AbstractCharArrayAssert, 2, false
org.assertj.core.internal.BooleanArrays, 5, false
org.assertj.core.util.Strings, 226, false
org.assertj.core.api.AbstractShortArrayAssert, 2, false
org.assertj.core.condition.Not, 1, false
org.assertj.core.api.LongPredicateAssert, 2, false
org.assertj.core.condition.AllOf, 2, false
